policy_cd,record_cd,item_cd,year_susep,coverage_type,claim_vl,claim_deductible_vl,claim_expenses_vl,claim_notice_date,claim_liquidation_date,event_type,sinister_start_date,sinister_end_date
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-10-27,2020-11-06,99,2020-09-30,2020-09-30
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-03,99,2020-10-09,2020-10-09
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-01,2020-10-01
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-01,2020-10-01
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-03,99,2020-10-02,2020-10-02
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-25,2020-10-14,99,2020-09-08,2020-09-08
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-10-15,2020-10-22,99,2020-09-12,2020-09-12
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-02,2020-10-02
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-10-22,2020-10-30,99,2020-09-22,2020-09-22
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-10-22,2020-10-30,99,2020-09-23,2020-09-23
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-10-27,2020-11-05,99,2020-09-25,2020-09-25
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-10,2020-09-15,99,2020-09-05,2020-09-05
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-10,2020-09-15,99,2020-09-05,2020-09-05
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-01,2020-10-01
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-10,2020-09-15,99,2020-09-06,2020-09-06
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-25,2020-10-14,99,2020-09-08,2020-09-08
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-25,2020-10-16,99,2020-09-08,2020-09-08
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-08-05,2020-08-28,99,2020-07-31,2020-07-31
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-10,2020-09-15,99,2020-09-06,2020-09-06
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-10-15,2020-10-23,99,2020-09-17,2020-09-17
293256151,5016392,7867316,2021,110,1137.48,0.0,0.0,2020-08-19,2020-09-11,99,2020-08-14,2020-08-14
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-03,2020-09-14,99,2020-08-26,2020-08-26
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-09-10,2020-09-15,99,2020-09-02,2020-09-02
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-07-14,2020-08-26,99,2020-07-11,2020-07-11
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-08-05,2020-09-11,99,2020-07-30,2020-07-30
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-09,2020-07-24,99,2020-05-29,2020-05-29
293256156,5016397,7867321,2021,110,2022.19,0.0,0.0,2020-07-10,2020-07-29,99,2020-06-18,2020-06-18
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-10,2020-07-30,99,2020-06-27,2020-06-27
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-29,2020-08-26,99,2020-07-27,2020-07-27
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-09-25,2020-10-16,99,2020-09-11,2020-09-11
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-08,2020-07-20,99,2020-03-05,2020-03-05
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-08,2020-07-22,99,2020-03-16,2020-03-16
289596943,374243,790311,2021,110,15963.0,0.0,363.0,2020-11-27,2021-01-22,99,2020-11-20,2020-11-20
289596954,374256,790666,2021,110,363.0,0.0,363.0,2020-12-08,2021-01-04,99,2020-11-27,2020-11-27
289596954,374256,790668,2021,110,7113.0,750.0,363.0,2021-06-29,2021-07-21,99,2021-06-26,2021-06-26
289596982,374290,791575,2021,110,80363.0,0.0,363.0,2021-05-26,2021-07-16,99,2021-05-20,2021-05-20
289597026,374343,801741,2021,110,363.0,0.0,363.0,2021-03-23,2021-04-05,99,2021-01-22,2021-01-22
289597057,374378,803877,2021,110,12963.0,0.0,363.0,2020-12-08,2020-12-29,99,2020-11-27,2020-11-27
289597141,374468,806886,2021,110,5313.0,550.0,363.0,2021-03-09,2021-06-04,11,2021-02-26,2021-02-26
289597142,374469,807024,2021,110,1533.0,130.0,363.0,2021-01-12,2021-04-14,99,2021-01-07,2021-01-07
289597143,374470,807543,2021,110,5313.0,550.0,363.0,2021-05-26,2021-06-24,99,2021-05-25,2021-05-25
289596264,373420,755878,2021,110,894.0,59.0,363.0,2020-07-06,2020-08-11,11,2020-07-05,2020-07-05
289596439,373629,762149,2021,110,2613.0,250.0,363.0,2020-11-27,2021-01-19,99,2020-11-25,2020-11-25
289596450,373655,764314,2021,110,1713.0,150.0,363.0,2020-09-29,2021-01-18,99,2020-09-24,2020-09-24
289596483,373694,765401,2021,110,85863.0,4500.0,363.0,2020-07-30,2020-08-17,99,2020-07-29,2020-07-29
289596486,373699,765497,2021,110,45363.0,0.0,363.0,2021-02-10,2021-03-02,99,2021-02-04,2021-02-04
289596505,373723,766133,2021,110,4863.0,500.0,363.0,2020-10-05,2020-10-29,99,2020-10-04,2020-10-04
289596540,373761,766759,2021,110,363.0,0.0,363.0,2021-02-02,2021-02-24,99,2021-01-19,2021-01-19
289596588,373819,768359,2021,110,5763.0,600.0,363.0,2021-03-08,2021-04-01,99,2021-02-22,2021-02-22
289596588,373819,768382,2021,110,5763.0,600.0,363.0,2020-12-28,2021-02-18,99,2020-12-24,2020-12-24
289596617,373855,768762,2021,110,93363.0,0.0,363.0,2021-05-11,2021-07-05,99,2021-05-09,2021-05-09
289596684,373937,777319,2021,110,2050.5,187.5,363.0,2021-03-09,2021-03-23,11,2021-02-25,2021-02-25
289596686,373939,778585,2021,110,948.0,65.0,363.0,2021-04-13,2021-05-11,99,2021-04-13,2021-04-13
289596686,373939,778965,2021,110,948.0,65.0,363.0,2020-08-19,2020-09-22,11,2020-08-18,2020-08-18
289596688,373941,780256,2021,110,2050.5,187.5,363.0,2020-07-29,2020-08-25,11,2020-07-28,2020-07-28
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-08,2020-07-22,99,2020-03-18,2020-03-18
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-08,2020-07-23,99,2020-03-22,2020-03-22
293256156,5016397,7867321,2021,110,1758.81,0.0,0.0,2020-07-09,2020-07-23,99,2020-04-03,2020-04-03
294367160,6172678,9032472,2021,110,2700.0,0.0,0.0,2020-11-01,2020-12-02,99,2020-11-01,2020-11-01
294367160,6172678,9032472,2021,110,2700.0,0.0,0.0,2020-11-01,2020-12-02,99,2020-11-01,2020-11-01
294367160,6172678,9032472,2021,110,2700.0,0.0,0.0,2020-11-01,2020-12-02,99,2020-11-01,2020-11-01
294367160,6172678,9032472,2021,110,2700.0,0.0,0.0,2020-11-01,2020-12-02,99,2020-11-01,2020-11-01
294367160,6172678,9032472,2021,110,2700.0,0.0,0.0,2020-11-01,2020-12-02,99,2020-11-01,2020-11-01
294366049,6171551,9031361,2021,110,2700.0,0.0,0.0,2020-09-23,2020-10-05,99,2020-08-03,2020-08-03
296011386,7895465,10759383,2021,110,2520.0,0.0,0.0,2020-07-28,2020-08-10,99,2020-07-22,2020-07-22
296011439,7895533,10759436,2021,110,1800.0,0.0,0.0,2020-09-01,2020-09-30,99,2020-08-25,2020-08-25
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2020-07-24,2020-08-10,99,2020-07-15,2020-07-15
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2020-07-30,2020-08-24,99,2020-07-18,2020-07-18
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2021-01-14,2021-02-03,99,2020-12-28,2020-12-28
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2021-02-02,2021-02-09,99,2021-01-16,2021-01-16
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2020-07-09,2020-07-14,99,2020-06-24,2020-06-24
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2020-07-20,2020-09-11,99,2020-06-18,2020-06-18
296011491,7895605,10759488,2021,110,6300.0,0.0,0.0,2020-07-20,2020-07-31,99,2020-07-08,2020-07-08
296011641,7895758,10759638,2021,110,1800.0,0.0,0.0,2021-07-08,2021-09-24,99,2021-06-25,2021-06-25
296011641,7895758,10759638,2021,110,1800.0,0.0,0.0,2021-06-01,2021-06-18,99,2021-05-28,2021-05-28
294366162,6171667,9031474,2021,110,3600.0,0.0,0.0,2020-07-20,2020-07-28,99,2019-11-29,2019-11-29
296011641,7895758,10759638,2021,110,1800.0,0.0,0.0,2021-06-08,2021-08-13,99,2021-06-01,2021-06-01
296011641,7895758,10759638,2021,110,1800.0,0.0,0.0,2021-06-08,2021-06-15,99,2021-06-01,2021-06-01
296011641,7895758,10759638,2021,110,2000.0,0.0,0.0,2021-07-06,,99,2021-06-28,2021-06-28
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-05-21,2021-06-21,99,2021-05-19,2021-05-19
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-07-20,2021-08-06,99,2021-04-10,2021-04-10
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-07-20,2021-08-06,99,2021-04-11,2021-04-11
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-07-20,2021-08-06,99,2021-04-11,2021-04-11
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2020-12-24,2021-01-29,99,2020-12-21,2020-12-21
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2020-12-24,2021-01-29,99,2020-12-22,2020-12-22
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-05-13,2021-05-20,99,2021-04-10,2021-04-10
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-05-13,2021-05-20,99,2021-04-11,2021-04-11
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-05-13,2021-05-20,99,2021-04-11,2021-04-11
293901938,5702895,8563993,2021,110,3600.0,0.0,0.0,2021-05-21,2021-08-06,99,2021-05-18,2021-05-18
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-09,2020-07-24,99,2020-04-19,2020-04-19
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-09,2020-07-24,99,2020-04-22,2020-04-22
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-11-19,2020-12-14,99,2020-11-17,2020-11-17
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-10,2020-07-30,99,2020-06-26,2020-06-26
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-11-12,2020-12-09,99,2020-10-30,2020-10-30
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-11-19,2020-12-14,99,2020-11-08,2020-11-08
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-08,2020-07-21,99,2020-03-13,2020-03-13
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-08,2020-07-22,99,2020-03-14,2020-03-14
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-08,2020-07-23,99,2020-03-27,2020-03-27
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-09,2020-07-27,99,2020-05-31,2020-05-31
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-10,2020-07-27,99,2020-06-04,2020-06-04
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-10,2020-07-29,99,2020-06-16,2020-06-16
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-11-19,2020-12-14,99,2020-11-17,2020-11-17
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-10,2020-07-29,99,2020-06-19,2020-06-19
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-10,2020-07-30,99,2020-06-24,2020-06-24
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-08,2020-07-21,99,2020-03-12,2020-03-12
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-10,2020-07-28,99,2020-06-16,2020-06-16
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-11-19,2020-12-09,99,2020-11-11,2020-11-11
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-09,2020-07-24,99,2020-05-01,2020-05-01
293256146,5016387,7867311,2021,110,1137.48,0.0,0.0,2020-07-09,2020-07-24,99,2020-05-28,2020-05-28
294365911,6171412,9031223,2021,110,1800.0,0.0,0.0,2020-07-22,2020-08-11,99,2020-06-07,2020-06-07
294366536,6172045,9031848,2021,110,2700.0,0.0,0.0,2020-09-23,2020-10-05,99,2020-09-14,2020-09-14
294366557,6172066,9031869,2021,110,2250.0,0.0,0.0,2020-08-13,2020-08-20,99,2020-07-25,2020-07-25
294366704,6172213,9032016,2021,110,2700.0,0.0,0.0,2020-07-23,2020-08-18,99,2020-03-21,2020-03-21
294366704,6172213,9032016,2021,110,2700.0,0.0,0.0,2020-07-23,2020-08-18,99,2020-03-23,2020-03-23
294366704,6172213,9032016,2021,110,2700.0,0.0,0.0,2021-08-16,2021-09-24,99,2020-09-18,2020-09-18
294366704,6172213,9032016,2021,110,2700.0,0.0,0.0,2021-08-16,2021-09-24,99,2020-09-19,2020-09-19
294366704,6172213,9032016,2021,110,2700.0,0.0,0.0,2021-08-16,2021-09-24,99,2020-09-20,2020-09-20
294366852,6172362,9032164,2021,110,2250.0,0.0,0.0,2020-08-20,2020-08-26,99,2020-07-20,2020-07-20
294366852,6172362,9032164,2021,110,2250.0,0.0,0.0,2020-08-20,2020-08-26,99,2020-07-22,2020-07-22
